cluster_kmeans_hybrid,n,high_urg_rate,neg_rate,unresolved_rate,priority_score
8,10112,0.20322389240506328,0.6062104430379747,0.5970134493670886,0.6611402294303798
1,10048,0.2028264331210191,0.6006170382165605,0.6003184713375797,0.6583312127106346
0,10017,0.19776380153738643,0.6144554257761805,0.6015773185584506,0.6581668165700588
2,10066,0.19531094774488378,0.5953705543413471,0.6027220345718259,0.6568581067486237
9,9996,0.1992797118847539,0.6041416566626651,0.5999399759903962,0.6558405640737308
5,9989,0.20202222444689158,0.5972569826809491,0.6026629292221444,0.6557611830291803
6,10034,0.19882399840542156,0.5984652182579231,0.5941797887183576,0.6552262970457408
4,9933,0.20517467029094935,0.6012282291352059,0.6009262055773684,0.6545824468559603
3,9909,0.20264406095468765,0.5986476940155414,0.6033908567968513,0.6531062774092342
7,9896,0.1954324979789814,0.6002425222312046,0.601050929668553,0.6505603849656684
